Chat_Session,User #,Comp #,Time_Taken (in seconds)
11-04-2022 23-31-35,3,10,2.118275
11-04-2022 23-38-45,3,10,3.984233
11-04-2022 23-39-04,4,12,217.054206
11-04-2022 23-43-25,11,23,6.025941
11-04-2022 23-48-40,2,8,6.716627
11-04-2022 23-56-38,2,8,9.744682
12-04-2022 00-06-49,2,8,5.676753
12-04-2022 00-07-41,2,8,7.130324
12-04-2022 00-11-31,2,8,7.834022
12-04-2022 00-12-19,2,8,6.858405
12-04-2022 00-12-51,2,8,7.174610
12-04-2022 00-16-11,2,8,6.205292
12-04-2022 00-17-50,2,8,6.067474
12-04-2022 00-25-38,2,8,6.088511
12-04-2022 00-58-43,31,56,1.114518
12-04-2022 01-01-37,11,26,30.851892
12-04-2022 01-05-47,5,17,8.650018
12-04-2022 01-13-21,5,17,13.046431
12-04-2022 01-13-54,8,20,16.890587
12-04-2022 01-15-40,13,29,23.022281
12-04-2022 01-16-51,6,17,10.512115
12-04-2022 01-17-36,8,22,9.776647
12-04-2022 01-18-25,6,14,9.478765
12-04-2022 01-18-54,4,15,22.244012
12-04-2022 01-19-32,7,21,21.247150
12-04-2022 01-33-00,5,17,6.621152
12-04-2022 01-33-23,8,22,9.190855
12-04-2022 01-34-04,6,16,11.212578
12-04-2022 01-34-39,6,15,5.325377
12-04-2022 01-35-07,5,13,10.999802
12-04-2022 01-35-33,4,11,6.115206
12-04-2022 01-36-04,6,15,4.021113
12-04-2022 01-36-31,2,8,6.492496
12-04-2022 01-36-56,2,8,5.747966
12-04-2022 01-37-12,2,8,7.374337
12-04-2022 01-37-32,2,8,5.243306
